"","year","wolves","moose"
"1",7.58018941794454,2.99573227355399,6.28785856016178
"2",7.58069975222456,3.09104245335832,6.33505425149806
"3",7.58120982619635,3.09104245335832,6.3491389913798
"4",7.58171964012531,3.13549421592915,6.361302477573
"5",7.58222919427646,2.99573227355399,6.39024066706535
"6",7.58273848891441,3.25809653802148,6.42971947803914
"7",7.58324752430336,3.3322045101752,6.45204895443723
"8",7.58375630070711,3.25809653802148,6.49375383985169
"9",7.58426481838906,3.09104245335832,6.64118216974059
"10",7.5847730776122,3.09104245335832,6.7428806357919
"11",7.58528107863913,2.83321334405622,6.94793706861497
"12",7.58578882173203,2.89037175789616,6.95177216439891
"13",7.58629630715272,2.99573227355399,7.07580886397839
"14",7.58680353516258,3.13549421592915,7.12528309151071
"15",7.58731050602262,3.17805383034795,7.10249935577465
"16",7.58781721999343,3.43398720448515,7.09257371597468
"17",7.58832367733522,3.71357206670431,7.03790596344718
"18",7.58882987830781,3.78418963391826,6.97541392745595
"19",7.58933582317062,3.52636052461616,6.85540879860993
"20",7.58984151218266,3.68887945411394,6.73933662735717
"21",7.59034694560257,3.76120011569356,6.75343791859778
"22",7.59085212368858,3.91202300542815,6.66949808985788
"23",7.59135704669855,3.40119738166216,6.64248680136726
"24",7.59186171488993,2.63905732961526,6.65929391968364
"25",7.5923661285198,3.13549421592915,6.72142570079064
"26",7.59287028784482,3.17805383034795,6.83195356556585
"27",7.59337419312129,3.09104245335832,6.88346258641309
"28",7.59387784460512,2.99573227355399,6.92165818415113
"29",7.59438124255182,2.77258872223978,6.95272864462487
"30",7.59488438721652,2.484906649788,7.01750614294126
"31",7.59538727885397,2.484906649788,7.13886699994552
"32",7.59588991771854,2.70805020110221,7.18159194461187
"33",7.5963923040642,2.484906649788,7.31055015853442
"34",7.59689443814454,2.484906649788,7.43661726523423
"35",7.5973963202128,2.56494935746154,7.48661331313996
"36",7.59789795052178,2.83321334405622,7.60936653795421
"37",7.59839932932396,2.77258872223978,7.65775527113487
"38",7.59890045687141,3.09104245335832,7.78239033558746
"39",7.59940133341582,3.17805383034795,6.80239476332431
"40",7.5999019592085,2.63905732961526,6.82979373751242
"41",7.6004023345004,3.2188758248682,6.90475076996184
"42",7.60090245954208,3.36729582998647,6.93828448401696
"43",7.60140233458373,2.94443897916644,7.02108396428914
"44",7.60190195987517,2.83321334405622,7.00306545878646
"45",7.60240133566582,2.94443897916644,6.80239476332431
"46",7.60290046220476,3.36729582998647,6.62007320653036
"47",7.60339933974067,3.40119738166216,6.29156913955832
"48",7.60389796852188,3.40119738166216,6.10924758276437
"49",7.60439634879634,3.04452243772342,5.95324333428778
"50",7.60489448081162,3.13549421592915,6.47697236288968
"51",7.60539236481493,3.17805383034795,6.27287700654617
"52",7.60589000105312,2.94443897916644,6.23441072571837
"53",7.60638738977265,2.77258872223978,6.24416690066374
"54",7.60688453121963,2.19722457733622,6.62007320653036
"55",7.60738142563979,2.07944154167984,6.88243747099785
"56",7.60787807327851,2.19722457733622,6.95654544315157
"57",7.60837447438078,1.09861228866811,7.13089883029635
"58",7.60887062919126,0.693147180559945,7.17011954344963
"59",7.60936653795421,0.693147180559945,7.37775890822787
"60",7.60986220091355,0.693147180559945,7.29641326877392
"61",7.61035761831284,2.70805020110221,7.63046126178363
