"","wolves","moose"
"1",2.99573227355399,6.28785856016178
"2",3.09104245335832,6.33505425149806
"3",3.09104245335832,6.3491389913798
"4",3.13549421592915,6.361302477573
"5",2.99573227355399,6.39024066706535
"6",3.25809653802148,6.42971947803914
"7",3.3322045101752,6.45204895443723
"8",3.25809653802148,6.49375383985169
"9",3.09104245335832,6.64118216974059
"10",3.09104245335832,6.7428806357919
"11",2.83321334405622,6.94793706861497
"12",2.89037175789616,6.95177216439891
"13",2.99573227355399,7.07580886397839
"14",3.13549421592915,7.12528309151071
"15",3.17805383034795,7.10249935577465
"16",3.43398720448515,7.09257371597468
"17",3.71357206670431,7.03790596344718
"18",3.78418963391826,6.97541392745595
"19",3.52636052461616,6.85540879860993
"20",3.68887945411394,6.73933662735717
"21",3.76120011569356,6.75343791859778
"22",3.91202300542815,6.66949808985788
"23",3.40119738166216,6.64248680136726
"24",2.63905732961526,6.65929391968364
"25",3.13549421592915,6.72142570079064
"26",3.17805383034795,6.83195356556585
"27",3.09104245335832,6.88346258641309
"28",2.99573227355399,6.92165818415113
"29",2.77258872223978,6.95272864462487
"30",2.484906649788,7.01750614294126
"31",2.484906649788,7.13886699994552
"32",2.70805020110221,7.18159194461187
"33",2.484906649788,7.31055015853442
"34",2.484906649788,7.43661726523423
"35",2.56494935746154,7.48661331313996
"36",2.83321334405622,7.60936653795421
"37",2.77258872223978,7.65775527113487
"38",3.09104245335832,7.78239033558746
"39",3.17805383034795,6.80239476332431
"40",2.63905732961526,6.82979373751242
"41",3.2188758248682,6.90475076996184
"42",3.36729582998647,6.93828448401696
"43",2.94443897916644,7.02108396428914
"44",2.83321334405622,7.00306545878646
"45",2.94443897916644,6.80239476332431
"46",3.36729582998647,6.62007320653036
"47",3.40119738166216,6.29156913955832
"48",3.40119738166216,6.10924758276437
"49",3.04452243772342,5.95324333428778
"50",3.13549421592915,6.47697236288968
"51",3.17805383034795,6.27287700654617
"52",2.94443897916644,6.23441072571837
"53",2.77258872223978,6.24416690066374
"54",2.19722457733622,6.62007320653036
"55",2.07944154167984,6.88243747099785
"56",2.19722457733622,6.95654544315157
"57",1.09861228866811,7.13089883029635
"58",0.693147180559945,7.17011954344963
"59",0.693147180559945,7.37775890822787
"60",0.693147180559945,7.29641326877392
"61",2.70805020110221,7.63046126178363
